Document Reference,Document ID,Invoice Nr,Transaction Type,Entity Number,Entity Name,Payee,Payor,Invoice amount (in USD),Currency,Payment Terms,Invoice Date,Due Date,Risk Score,Collateral Value (in USD)
CF-001,0x9500667307000000000000000000000000000000000000000000000000000000,9500667307,Reverse,1,TechCargo,Seeboard,Daimler,USD,"1,000.00",30,5/4/2020,6/3/2020,A,"1,000.00"
CF-002,0x9500667399000000000000000000000000000000000000000000000000000000,9500667399,Factor,2,Globalog SA,Supermarket,BMW,USD,900.00,30,5/4/2020,6/3/2020,B,900.00
CF-003,0x9500667467000000000000000000000000000000000000000000000000000000,9500667467,Reverse,4,Tree Logistics,Seeboard,Chrysler,USD,800.00,30,5/4/2020,6/3/2020,A,800.00
CF-004,0x9500667552000000000000000000000000000000000000000000000000000000,9500667552,Reverse,3,Adeko,Shipco,Porsche,USD,"1,000.00",45,5/4/2020,6/18/2020,C,"1,000.00"
CF-005,0x9500667571000000000000000000000000000000000000000000000000000000,9500667571,Factor,1,TechCargo,Laces,Honda,USD,700.00,45,5/4/2020,6/18/2020,B,700.00
CF-006,0x9500667586000000000000000000000000000000000000000000000000000000,9500667586,Reverse,2,Globalog SA,Nike,Mazda,USD,"1,200.00",30,5/4/2020,6/3/2020,A,"1,200.00"
CF-007,0x9500667611000000000000000000000000000000000000000000000000000000,9500667611,Factor,1,TechCargo,Puma,Volkswagen,USD,600.00,45,5/4/2020,6/18/2020,B,600.00
CF-008,0x9500667642000000000000000000000000000000000000000000000000000000,9500667642,Reverse,2,Globalog SA,Reebok,Citroen,USD,"1,000.00",30,5/4/2020,6/3/2020,A,"1,000.00"
CF-009,0x9500667722000000000000000000000000000000000000000000000000000000,9500667722,Factor,4,Tree Logistics,Adidas,Jeep,USD,700.00,45,5/4/2020,6/18/2020,C,700.00
CF-010,0x9500667760000000000000000000000000000000000000000000000000000000,9500667760,Reverse,3,Adeko,Umbro,Saab,USD,"1,200.00",45,5/4/2020,6/18/2020,B,"1,200.00"
